id,classification,question,answer,video_url
1,faq_bankruptcy,나이가 어려도 파산신청이 가능할까?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/vd4gxycQB5A
2,faq_bankruptcy,파산신청에 나이제한이 있을까요?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/UZ9-o0YWTAc
3,faq_bankruptcy,파산면책의 소,입력하신 사항이 없습니다.,https://www.youtube.com/embed/LbZ9MSOqP84
4,faq_bankruptcy,면책확인의 소란 무엇인가요?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/C4iGOjJSW_A
5,faq_bankruptcy,파산면책절차와 신청방법이 궁금합니다.,입력하신 사항이 없습니다.,https://www.youtube.com/embed/5ia594D64i8
6,faq_bankruptcy,개인파산 신청할 때 자격요건,입력하신 사항이 없습니다.,https://www.youtube.com/embed/gwzP9Q9YMf8
7,faq_bankruptcy,직장인도 파산면책 가능할까?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/FEbM7AERJ1g
8,faq_bankruptcy,정규 직장인 파산신청은 어떻게 하나요?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/-BL38CO29gM
9,faq_bankruptcy,개인파산 신청할 때 필요한 비용과 예납금,입력하신 사항이 없습니다.,https://www.youtube.com/embed/FRxr-9VZY2I
10,faq_bankruptcy,개인파산 신청에서 파산면책까지 소요시간,입력하신 사항이 없습니다.,https://www.youtube.com/embed/cP1pv2AFUmI
11,faq_bankruptcy,파산면책 절차에 걸리는 시간이 궁금해요,입력하신 사항이 없습니다.,https://www.youtube.com/embed/1sDvyqGCeWs
12,faq_bankruptcy,파산면책에 걸리는 시간,입력하신 사항이 없습니다.,https://www.youtube.com/embed/7Dikrclo1RM
13,faq_bankruptcy,파산면책 후 금융거래,입력하신 사항이 없습니다.,https://www.youtube.com/embed/f3iwzk3MnDQ
14,faq_bankruptcy,파산면책 결정 후 금융거래 어떻게 해야 할까요?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/6ZJVFkAZdgQ
15,faq_bankruptcy,파산선고 받으면 불이익이 있을까?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/0zuIjEQebw4
16,faq_bankruptcy,파산선고에 대한 불이익 어떤 것이 있을까요?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/tArzM4mKEhE
17,faq_bankruptcy,파산선고를 받게 되면 불이익이 많을까?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/aoSz4KgXC5I
18,faq_bankruptcy,개인파산 파산비면책채권,입력하신 사항이 없습니다.,https://www.youtube.com/embed/xSgGz9ARg4w
19,faq_bankruptcy,부동산소유자 파산면책 신청방법,입력하신 사항이 없습니다.,https://www.youtube.com/embed/mO6GrNdujZc
20,faq_bankruptcy,"파산신청 전, 부동산은 어떻게 해야 할까?!",입력하신 사항이 없습니다.,https://www.youtube.com/embed/TzfZtlRLCfo
21,faq_bankruptcy,파산신청 전 부동산을 처분해야 할까?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/9K__USWskJ0
