id,classification,question,answer,video_url
1,faq_rehabilitation,개인회생 월세 주거비인정 실제사례,입력하신 사항이 없습니다.,https://www.youtube.com/embed/jiBYoqgSd2U
2,faq_rehabilitation,개인회생 절차와 주의 사항,입력하신 사항이 없습니다.,https://www.youtube.com/embed/KiAvjFPH_3o
3,faq_rehabilitation,개인회생은 언제 신청해야 되나?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/Njvm-5lbXLk
4,faq_rehabilitation,개인회생 절차는 어떻게 될까요?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/9kr6LpSi0HE
5,faq_rehabilitation,개인회생 절차,입력하신 사항이 없습니다.,https://www.youtube.com/embed/jGd9Kpx14F0
6,faq_rehabilitation,개인회생 절차가 궁금합니다.,입력하신 사항이 없습니다.,https://www.youtube.com/embed/9kr6LpSi0HE
7,faq_rehabilitation,최근 채무가 높을 경우 개인 회생 절차,입력하신 사항이 없습니다.,https://www.youtube.com/embed/MjC8KeKDmyw
8,faq_rehabilitation,개인회생 신청 시 필요한 서류는?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/w9HOb9YTrC4
9,faq_rehabilitation,개인회생 신청할 때 어떤 서류가 필요할까?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/W0LhK2cGQM8
10,faq_rehabilitation,개인회생 신청할 때 필요한 서류는?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/TKl3OIfQE7c
11,faq_rehabilitation,개인회생 신청할 때 필요한 자격 조건은?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/qBjIt98V-Yw
12,faq_rehabilitation,개인회생 신청자격 조건에는 어떤 것이 있나요?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/rbDuGpdpntw
13,faq_rehabilitation,개인회생 신청 관할법원 선택하기,입력하신 사항이 없습니다.,https://www.youtube.com/embed/dm4tbQI5b08
14,faq_rehabilitation,개인회생 신청 후 법원 출석 방법 및 주의사항,입력하신 사항이 없습니다.,https://www.youtube.com/embed/ivC49XDhsFY
15,faq_rehabilitation,비정규직도 개인회생 신청이 가능할까?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/0EYQVLn7sKA
16,faq_rehabilitation,전제자금 대출이 있는 경우 개인회생이 가능할까요?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/fizkQFkwS0E
17,faq_rehabilitation,공무원 퇴직금 담보대출도 개인회생 신청이 가능한가요?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/2gmPD250ry8
18,faq_rehabilitation,정기적인 소득이 없어도 개인회생이 가능할까?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/JVLt2gdgC1g
19,faq_rehabilitation,카드 돌려막기 해도 개인회생 가능할까?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/sT52JEe8j20
20,faq_rehabilitation,도박 빚도 개인회생 가능할까?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/WHzXPGhfTLs
21,faq_rehabilitation,최저생계비보다 적은 소득으로 개인회생 신청하기,입력하신 사항이 없습니다.,https://www.youtube.com/embed/rhJBQd1Ri5I
22,faq_rehabilitation,급여가 압류되었을 때 개인회생,입력하신 사항이 없습니다.,https://www.youtube.com/embed/jrD3UuaaNDU
23,faq_rehabilitation,개인회생 변제금은 언제부터 납부해야 될까?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/4T6TH76Sj2Q
